        78          77          76
        68          60          65
        64          70          65
         7          11           4
        63          64          56
        50          46          56
        30          26          21
        26          35          23
        13          14          21
         8          13          12
        20          18          23
        18           9          12
         2           1           3
         3           4           5
        43          33          36
        76          72          74
        60          57          53
        42          50          53
        41          34          38
        35          42          38
        11          19          16
        34          29          25
        19          20          25
        22          15          16
        29          39          31
        28          22          31
        15          17          10
         5          10           6
        62          61          67
        72          73          67
        66          69          71
        75          74          71
        61          55          59
        39          45          48
        55          49          48
        58          66          59
        45          41          52
        57          58          52
        49          47          37
        47          54          44
        24          27          32
        27          28          37
        36          32          40
        51          40          44
