        15          13          12
         8          17          18
        17           8          16
         2          33          30
         8          20          16
        20           8          25
         1          27          25
         3           1          25
        27           1          32
         1          29          32
         1           3          30
        29           1          30
        33          34          35
         2          34          33
        26          23          24
        11          13          15
        10           8          18
         8          10          25
         3          10           6
        10           3          25
         5           2          30
         5           3           6
         3           5          30
         2           5          28
         4           5           6
         5           4          28
        31           2          28
        31          34           2
        11          19          21
        19          11          15
        14          11          18
        11          14          13
         9          11          21
         9           4           6
         4           9          21
        11           9          18
        10           9           6
         9          10          18
         7           4          21
        22           7          21
         7          26          28
         4           7          28
         7          23          26
         7          22          23
