         0           0          16
         0          17           3
         5           0           2
         0          21          14
         0           3           6
        18           0           5
         0           8           9
         7          20          11
        10           0           7
         0           9          12
        23          12           8
        11           0          10
         0           0          14
        13           4          28
         0           0          43
         1          30          32
         2          38          18
        20           6          17
        37          22          20
         8          18          19
         4          23          24
        19          25          23
        21          11          22
        26          27          21
        22          34          26
        42          24          25
        24           0          28
        14          27           0
         0          33          30
        16           0          29
        36           0          32
         0          16          31
        29          35          36
        25          37          35
        33          39          34
        38          31          33
        34          19          38
        17          36          37
        35          40          42
        39           0          44
         0          42          43
        41          26          39
        15          41          44
         0          43          40
