        63          41          62
       100          62          61
       122         100         121
       159         121         120
       181         159         180
       218         180         179
       240         218         239
       277         239         238
       299         277         298
       336         298         297
       358         336         357
       395         357         356
       417         395         416
       454         416         415
       476         454         475
       513         475         474
       535         513         534
       572         534         533
       594         572         593
       631         593         592
       653         631         652
       690         652         651
       712         690         711
       749         711         710
       771         749         770
       808         770         769
       830         808         829
       867         829         828
       889         867         888
       926         888         887
       948         926         947
       985         947         946
      1007         985        1006
      1044        1006        1005
      1066        1044        1065
      1103        1065        1064
        65          42          64
       101          64          63
       124         101         123
       160         123         122
       183         160         182
       219         182         181
       242         219         241
       278         241         240
       301         278         300
       337         300         299
       360         337         359
       396         359         358
       419         396         418
       455         418         417
       478         455         477
       514         477         476
       537         514         536
       573         536         535
       596         573         595
       632         595         594
       655         632         654
       691         654         653
       714         691         713
       750         713         712
       773         750         772
       809         772         771
       832         809         831
       868         831         830
       891         868         890
       927         890         889
       950         927         949
       986         949         948
      1009         986        1008
      1045        1008        1007
      1068        1045        1067
      1104        1067        1066
        67          43          66
       102          66          65
       126         102         125
       161         125         124
       185         161         184
       220         184         183
       244         220         243
       279         243         242
       303         279         302
       338         302         301
       362         338         361
       397         361         360
       421         397         420
       456         420         419
       480         456         479
       515         479         478
       539         515         538
       574         538         537
       598         574         597
       633         597         596
       657         633         656
       692         656         655
       716         692         715
       751         715         714
       775         751         774
       810         774         773
       834         810         833
       869         833         832
       893         869         892
       928         892         891
       952         928         951
       987         951         950
      1011         987        1010
      1046        1010        1009
      1070        1046        1069
      1105        1069        1068
        69          44          68
       103          68          67
       128         103         127
       162         127         126
       187         162         186
       221         186         185
       246         221         245
       280         245         244
       305         280         304
       339         304         303
       364         339         363
       398         363         362
       423         398         422
       457         422         421
       482         457         481
       516         481         480
       541         516         540
       575         540         539
       600         575         599
       634         599         598
       659         634         658
       693         658         657
       718         693         717
       752         717         716
       777         752         776
       811         776         775
       836         811         835
       870         835         834
       895         870         894
       929         894         893
       954         929         953
       988         953         952
      1013         988        1012
      1047        1012        1011
      1072        1047        1071
      1106        1071        1070
        71          45          70
       104          70          69
       130         104         129
       163         129         128
       189         163         188
       222         188         187
       248         222         247
       281         247         246
       307         281         306
       340         306         305
       366         340         365
       399         365         364
       425         399         424
       458         424         423
       484         458         483
       517         483         482
       543         517         542
       576         542         541
       602         576         601
       635         601         600
       661         635         660
       694         660         659
       720         694         719
       753         719         718
       779         753         778
       812         778         777
       838         812         837
       871         837         836
       897         871         896
       930         896         895
       956         930         955
       989         955         954
      1015         989        1014
      1048        1014        1013
      1074        1048        1073
      1107        1073        1072
        73          46          72
       105          72          71
       132         105         131
       164         131         130
       191         164         190
       223         190         189
       250         223         249
       282         249         248
       309         282         308
       341         308         307
       368         341         367
       400         367         366
       427         400         426
       459         426         425
       486         459         485
       518         485         484
       545         518         544
       577         544         543
       604         577         603
       636         603         602
       663         636         662
       695         662         661
       722         695         721
       754         721         720
       781         754         780
       813         780         779
       840         813         839
       872         839         838
       899         872         898
       931         898         897
       958         931         957
       990         957         956
      1017         990        1016
      1049        1016        1015
      1076        1049        1075
      1108        1075        1074
        75          47          74
       106          74          73
       134         106         133
       165         133         132
       193         165         192
       224         192         191
       252         224         251
       283         251         250
       311         283         310
       342         310         309
       370         342         369
       401         369         368
       429         401         428
       460         428         427
       488         460         487
       519         487         486
       547         519         546
       578         546         545
       606         578         605
       637         605         604
       665         637         664
       696         664         663
       724         696         723
       755         723         722
       783         755         782
       814         782         781
       842         814         841
       873         841         840
       901         873         900
       932         900         899
       960         932         959
       991         959         958
      1019         991        1018
      1050        1018        1017
      1078        1050        1077
      1109        1077        1076
        77          48          76
       107          76          75
       136         107         135
       166         135         134
       195         166         194
       225         194         193
       254         225         253
       284         253         252
       313         284         312
       343         312         311
       372         343         371
       402         371         370
       431         402         430
       461         430         429
       490         461         489
       520         489         488
       549         520         548
       579         548         547
       608         579         607
       638         607         606
       667         638         666
       697         666         665
       726         697         725
       756         725         724
       785         756         784
       815         784         783
       844         815         843
       874         843         842
       903         874         902
       933         902         901
       962         933         961
       992         961         960
      1021         992        1020
      1051        1020        1019
      1080        1051        1079
      1110        1079        1078
        79          49          78
       108          78          77
       138         108         137
       167         137         136
       197         167         196
       226         196         195
       256         226         255
       285         255         254
       315         285         314
       344         314         313
       374         344         373
       403         373         372
       433         403         432
       462         432         431
       492         462         491
       521         491         490
       551         521         550
       580         550         549
       610         580         609
       639         609         608
       669         639         668
       698         668         667
       728         698         727
       757         727         726
       787         757         786
       816         786         785
       846         816         845
       875         845         844
       905         875         904
       934         904         903
       964         934         963
       993         963         962
      1023         993        1022
      1052        1022        1021
      1082        1052        1081
      1111        1081        1080
        81          50          80
       109          80          79
       140         109         139
       168         139         138
       199         168         198
       227         198         197
       258         227         257
       286         257         256
       317         286         316
       345         316         315
       376         345         375
       404         375         374
       435         404         434
       463         434         433
       494         463         493
       522         493         492
       553         522         552
       581         552         551
       612         581         611
       640         611         610
       671         640         670
       699         670         669
       730         699         729
       758         729         728
       789         758         788
       817         788         787
       848         817         847
       876         847         846
       907         876         906
       935         906         905
       966         935         965
       994         965         964
      1025         994        1024
      1053        1024        1023
      1084        1053        1083
      1112        1083        1082
        83          51          82
       110          82          81
       142         110         141
       169         141         140
       201         169         200
       228         200         199
       260         228         259
       287         259         258
       319         287         318
       346         318         317
       378         346         377
       405         377         376
       437         405         436
       464         436         435
       496         464         495
       523         495         494
       555         523         554
       582         554         553
       614         582         613
       641         613         612
       673         641         672
       700         672         671
       732         700         731
       759         731         730
       791         759         790
       818         790         789
       850         818         849
       877         849         848
       909         877         908
       936         908         907
       968         936         967
       995         967         966
      1027         995        1026
      1054        1026        1025
      1086        1054        1085
      1113        1085        1084
        85          52          84
       111          84          83
       144         111         143
       170         143         142
       203         170         202
       229         202         201
       262         229         261
       288         261         260
       321         288         320
       347         320         319
       380         347         379
       406         379         378
       439         406         438
       465         438         437
       498         465         497
       524         497         496
       557         524         556
       583         556         555
       616         583         615
       642         615         614
       675         642         674
       701         674         673
       734         701         733
       760         733         732
       793         760         792
       819         792         791
       852         819         851
       878         851         850
       911         878         910
       937         910         909
       970         937         969
       996         969         968
      1029         996        1028
      1055        1028        1027
      1088        1055        1087
      1114        1087        1086
        87          53          86
       112          86          85
       146         112         145
       171         145         144
       205         171         204
       230         204         203
       264         230         263
       289         263         262
       323         289         322
       348         322         321
