         1          21          20
         1           2          21
         2          22          21
         2           3          22
         3          23          22
         3           4          23
         4          24          23
         4           5          24
         5          25          24
         5           6          25
         6          26          25
         6           7          26
         7          27          26
         7           8          27
         8          28          27
         8           9          28
         9          29          28
         9          10          29
        10          30          29
        10          11          30
        11          31          30
        11          12          31
        12          32          31
        12          13          32
        13          33          32
        13          14          33
        14          34          33
        14          15          34
        15          35          34
        15          16          35
        16          36          35
        16          17          36
        17          37          36
        17          18          37
        18          38          37
        18          19          38
        20          40          39
        20          21          40
        21          41          40
        21          22          41
        22          42          41
        22          23          42
        23          43          42
        23          24          43
        24          44          43
        24          25          44
        25          45          44
        25          26          45
        26          46          45
        26          27          46
        27          47          46
        27          28          47
        28          48          47
        28          29          48
        29          49          48
        29          30          49
        30          50          49
        30          31          50
        31          51          50
        31          32          51
        32          52          51
        32          33          52
        33          53          52
        33          34          53
        34          54          53
        34          35          54
        35          55          54
        35          36          55
        36          56          55
        36          37          56
        37          57          56
        37          38          57
        39          59          58
        39          40          59
        40          60          59
        40          41          60
        41          61          60
        41          42          61
        42          62          61
        42          43          62
        43          63          62
        43          44          63
        44          64          63
        44          45          64
        45          65          64
        45          46          65
        46          66          65
        46          47          66
        47          67          66
        47          48          67
        48          68          67
        48          49          68
        49          69          68
        49          50          69
        50          70          69
        50          51          70
        51          71          70
        51          52          71
        52          72          71
        52          53          72
        53          73          72
        53          54          73
        54          74          73
        54          55          74
        55          75          74
        55          56          75
        56          76          75
        56          57          76
        58          78          77
        58          59          78
        59          79          78
        59          60          79
        60          80          79
        60          61          80
        61          81          80
        61          62          81
        62          82          81
        62          63          82
        63          83          82
        63          64          83
        64          84          83
        64          65          84
        65          85          84
        65          66          85
        66          86          85
        66          67          86
        67          87          86
        67          68          87
        68          88          87
        68          69          88
        69          89          88
        69          70          89
        70          90          89
        70          71          90
        71          91          90
        71          72          91
        72          92          91
        72          73          92
        73          93          92
        73          74          93
        74          94          93
        74          75          94
        75          95          94
        75          76          95
        77          97          96
        77          78          97
        78          98          97
        78          79          98
        79          99          98
        79          80          99
        80         100          99
        80          81         100
        81         101         100
        81          82         101
        82         102         101
        82          83         102
        83         103         102
        83          84         103
        84         104         103
        84          85         104
