         6          32           2
         3           1          11
         8           2           4
        17           3          13
        26          30           6
         7           5           1
        24           6           8
        19           7           3
        32          16          10
        11           9          27
         2          10          12
        13          11          25
         4          12          14
        15          13          23
        18          14          16
         9          15          21
        20           4          18
        31          17          15
        22           8          20
        29          19          17
        16          24          22
        27          21          19
        14          26          24
        21          23           7
        12          28          26
        23          25           5
        10          22          28
        25          27          29
        28          20          30
         5          29          31
        30          18          32
         1          31           9
