        10           1
        25           1
        25           4
         4          24
        24           7
        23           7
        23          21
        11           1
         1           4
         4           7
         7          21
        11           2
         1           2
         1           5
         4           5
         4           8
         7           8
         7          20
        12           2
         2           5
         5           8
         8          20
        12           3
         3           2
         2           6
         5           6
         5           9
         8           9
         8          19
        13           3
         3           6
         6           9
         9          19
        13          15
         3          15
         3          16
         6          16
         6          17
         9          17
         9          18
        10          25
        25          24
        24          23
        23          22
        10          11
        21          22
        11          12
        20          21
        12          13
        19          20
        13          14
        18          19
        14          15
        15          16
        16          17
        17          18
