        15           9          14
        20          14          13
        26          20          25
        31          25          24
        17          10          16
        21          16          15
        28          21          27
        32          27          26
         2          41           1
         8           1          45
        13           8          12
        19          12          47
        24          19          23
        30          23          49
        35          30          34
        53          34          51
        37          31          36
        54          36          35
        39          32          38
        55          38          37
        52          33          40
        56          40          39
        50          22          29
        33          29          28
        48          11          18
        22          18          17
        46          44           7
        11           7           6
         6          43           5
        10           5           4
         4          42           3
         9           3           2
