        29          33          24
        34          29          25
        22          26          31
        13          22          18
        25          16          18
        14          10           6
        23          14          19
        17          24          19
         6          87           4
        65          74          97
        92          36          28
        20          11          90
        26          20          28
        10          15          89
        15          21          91
        64          61          56
        95          49          58
        61          65          58
         3          86           5
        11           9          88
         9          13           5
        85           1           2
         4           2           8
         1           3           7
        16          12           7
        12          17           8
        99          78          80
        74          73          78
        73          64          69
        84         101          80
        43          34          37
        46          43          51
        53          60          51
        31          38          37
        55          63          53
        72          75          79
        63          72          71
        75          70          98
        70          62          96
        45          94          54
        36          45          41
        62          57          54
        57          55          47
        38          41          47
        52          56          48
        33          42          35
        42          46          50
        59          52          50
        79         100          83
        82          84          76
       102          82          81
        77          83          81
        68          71          77
        60          68          66
        69          67          76
        67          59          66
        48          44          39
        21          27          30
        27          23          32
        32          35          39
        40          93          30
        49          40          44
