         8           5          10
         5           7          10
         9           7           4
         7           2           4
         2           7           5
        38           3           6
         3           8           6
         8           3           5
        40           3          38
        26          30          21
         9          35          33
        37          35           4
        35           9           4
        36          38           6
        34          36           6
        16          18          21
        16          30          32
        30          16          21
        39           2          41
        39          37           4
         2          39           4
         1          40          41
         1           3          40
         2           1          41
         1           2           5
         3           1           5
        23          24          26
        23          26          21
        18          23          21
        24          23          27
         7          12          10
        12          15          10
        15          12          17
        12           7           9
        17          12          19
        28          22          19
        22          17          19
        29          28          19
        31          29          19
        31          14          33
        14           9          33
        14          31          19
        12          14          19
        14          12           9
        16          13          18
        13           8          10
        15          13          10
        13          15          18
        25          22          28
        23          20          27
        20          25          27
        25          20          22
        22          20          17
        20          15          17
        20          23          18
        15          20          18
        11          13          16
        11          34           6
         8          11           6
        13          11           8
        34          11          32
        11          16          32
