        24          22
        22          23
        19          24
         9          23
        21          19
         9           6
        24          25
        23          26
        21          20
        14           6
        20          12
        26          25
         4          21
         6           7
        15          14
        25           5
         8          26
         4           5
         8           7
        12          13
        58          15
         3           4
         7          59
         1           8
         5           2
        13           3
        59          58
        13          11
         1           2
        61          58
         3          34
        59          60
        46           1
         2          31
        46          60
        41          11
        34          31
        44          34
        57          60
        61          62
        41          44
        47          46
        31          32
        62          57
        40          41
        32          47
        44          43
        57          45
        62          17
        48          47
        33          32
        45          48
        33          35
        42          40
        35          43
        16          45
        43          42
        17          18
        48          56
        54          33
        18          16
        42          39
        37          35
        16          29
        10          18
        54          56
        56          55
        53          54
        29          55
        39          38
        37          53
        36          37
        29          28
        28          10
        38          36
        55          50
        53          52
        28          27
        36          49
        30          27
        52          51
        50          51
        49          52
        30          50
        22           0
        19           0
         9           0
        20           0
        14           0
        12           0
        15           0
        11           0
        61           0
        40           0
        17           0
        39           0
        10           0
        38           0
        27           0
        49           0
        30           0
        51           0
